rat,events,sessions,mean_retrospective_geometry_score,median_retrospective_geometry_score,fraction_positive
Rat1,39,2,-0.02201900152772479,-0.04302825686020555,0.46153846153846156
Rat2,39,2,-0.04376895889848495,-0.02338006489699476,0.4358974358974359
Rat3,20,2,-0.04061589271601465,-0.05459723470724831,0.45
Rat4,35,2,0.061495316660500066,0.05715548442284181,0.5714285714285714
leave_out::Rat1,94,6,-0.007629844984666507,-0.005612307216497753,0.48936170212765956
leave_out::Rat2,94,6,-0.00037985919441312077,-0.0005412824524104241,0.5
leave_out::Rat3,113,6,-0.0014308812552365536,-0.0035138831600313083,0.48672566371681414
leave_out::Rat4,98,6,-0.03546795104740813,-0.039606436937160636,0.4489795918367347
